,ssoc_2015,ssoc_2015_title
385,24,Business And Administration Professionals
386,241,Finance Professionals
387,2411,Accountants
388,24111,Accountant (Excluding Tax Accountant)
389,24112,Auditor (Accounting)
390,24113,Tax Accountant
391,2412,Financial And Investment Advisers
392,24120,Financial/Investment Adviser (Eg Relationship Manager)
393,2413,Financial Analysts And Related Professionals
394,24131,"Financial Analyst (Eg Equities Analyst, Credit Analyst, Investment Research Analyst)"
395,24132,Compliance Officer/Risk Analyst (Financial)
396,24133,Fund/Portfolio Manager (Including Asset Allocator)
397,24134,Treasury Manager
398,24139,Other Financial Analysts And Related Professionals (Eg Financial Product Structurer/Product Controller)
399,2414,Securities And Finance Dealers And Brokers
400,24141,Securities And Finance Dealer/Broker
401,24142,Foreign Exchange Dealer/Broker
402,24143,Financial Derivatives Dealer/Broker
403,24144,Commodities Derivatives Broker
404,24149,Other Finance Dealers And Brokers
405,2415,Insurance Underwriters
406,24150,Insurance Underwriter
407,242,Administration Professionals
408,2421,Management And Business Consultants
409,24211,Management Consultant
410,24212,Business Consultant
411,2422,Policy Administration Professionals
412,24220,Policy Administration Professional (Eg Policy Analyst)
413,2423,Human Resource Professionals
414,24231,Human Resource Consultant (Excluding Executive Search Consultant)
415,24232,Executive Search Consultant
416,2429,Other Administration Professionals Not Elsewhere Classified
417,24291,Research Officer (Non-Statistical)
418,24299,Other Administration Professionals N.E.C.
419,243,Marketing And Public Relations Professionals
420,2431,Advertising And Marketing Professionals
421,24311,Creative Director (Advertising)
422,24312,Market Research Analyst
423,2432,Public Relations Professionals
424,24320,Public Relations/Corporate Communications Professional
425,2433,Specialised Goods Sales Professionals
426,24331,Technical Sales Professionals
427,24332,Medical And Pharmaceutical Products Sales Professionals
428,24333,Ict Sales Professionals
429,24334,Sales Professionals (Institutional Sales Of Financial Products)
430,24339,Other Specialised Goods Sales Professionals
431,2434,Trade And Ship Brokers
432,24341,Trade Broker (Including Oil And Bunker Trader)
433,24342,Ship Broker
434,24343,Ship Charterer
435,25,Information And Communications Technology Professionals
436,251,Software And Applications Developers And Analysts
437,2511,Systems Analysts
438,25111,Systems Designer/Analyst
439,25112,It Business Process Consultant/Business Analyst
440,25113,Enterprise/Solution Architect
441,2512,"Software, Web And Multimedia Developers"
442,25121,Software Developer
443,25122,Web And Mobile Applications Developer
444,25123,Multimedia (Including Computer Games) Developer
445,2514,Applications And Systems Programmers
446,25140,Applications/Systems Programmer
447,2515,Information Technology Testing And Quality Assurance Professionals
448,25151,Information Technology Testing/Quality Assurance Specialist
449,25152,Information Technology Auditor
450,2516,Information Technology Project Managers
451,25160,Information Technology Project Manager
452,2519,Software And Applications Developers And Analysts Not Elsewhere Classified
453,25190,Software And Applications Developer And Analyst N.E.C.
454,252,"Database, Network And Infrastructure Professionals"
455,2521,Database Designers And Administrators
456,25211,Database Administrator
457,25212,Database Architect
458,2522,"Network, Servers And Computer Systems Administrators"
459,25220,"Network, Servers And Computer Systems Administrator"
460,2523,Computer Network And Infrastructure Professionals
461,25230,"Network/Infrastructure Architect, Engineer And Specialist"
462,2524,Information Technology Security Specialists
463,25240,Information Technology Security Specialist
464,2529,Database And Network Professionals Not Elsewhere Classified
465,25291,Data Scientist
466,25299,Database And Network Professional N.E.C.
467,26,"Legal, Social And Cultural Professionals"
468,261,Legal Professionals
469,2611,Lawyers
470,26111,Advocate/Solicitor (Practising)
471,26112,"In-House Legal Counsel (Except Judiciary, Ministries And Statutory Boards)"
472,26119,"Other Lawyers (Eg Prosecutors, Legal Counsel In Ministries And Statutory Boards)"
473,2612,Judges
474,26120,Judge (Including Registrar In Judiciary)
475,262,"Librarians, Archivists And Curators"
476,2621,"Archivists, Curators And Conservators"
477,26211,Archivist
478,26212,Curator (Art Gallery And Museum)
479,26213,Conservator (Art Works)
480,2622,Librarians And Related Information Professionals
481,26221,Librarian
482,26229,Other Information Professionals
483,263,Social Science Professionals
484,2631,Economists
485,26310,Economist
486,2632,"Sociologists, Anthropologists And Related Professionals"
487,26321,Sociologist
488,26322,Anthropologist
489,26323,Social Research Analyst
490,2633,"Historians, Political Scientists And Other Social Science Professionals"
491,26331,Historian
492,26332,Political Scientist
493,26339,Other Social Science Professionals (Eg Philosopher)
494,2634,Psychologists
495,26340,Psychologist
496,2635,Social Work And Counselling Professionals
497,26351,Social Worker (General)
498,26352,Social Worker (Delinquency)
499,26353,Medical Social Worker
500,26354,Counsellor (Rehabilitation)
501,26355,Counsellor (Drugs And Alcohol)
502,26356,Counsellor (Family)
503,26357,School Counsellor
504,26359,Other Social Work And Counselling Professionals
505,264,"Authors, Journalists And Editors"
506,2641,Authors And Related Writers
507,26411,Author
508,26412,Script Writer
509,26413,Advertising Copywriter
510,26414,Technical Writer
511,26415,Continuity And Script Editor
512,26416,Book Editor
513,26419,Other Authors And Related Writers
514,2642,Journalists
515,26421,Journalist
516,26422,Editor (News And Periodicals)
517,2643,"Translators, Interpreters And Other Linguists"
518,26431,Translator
519,26432,Interpreter
520,265,Creative And Performing Artists
521,2651,Visual Artists
522,26511,Sculptor
523,26512,Painter
524,26513,Cartoonist
525,26519,Other Visual Artists
526,2652,"Musicians, Composers And Singers"
527,26521,Instrumentalist
528,26522,Composer/Orchestrator
529,26523,Conductor/Director Of Orchestra/Band/Choir
530,26524,Singer
531,26529,"Other Musicians, Composers And Singers"
532,2653,Dancers And Choreographers
533,26531,Dancer
534,26532,Choreographer
535,2654,"Film, Stage And Related Directors And Producers"
536,26541,"Producer (Stage, Film, Television, Computer Games, Video And Radio)"
537,26542,"Director (Stage, Film, Television And Radio)"
538,26543,"Artistic Director (Stage, Film, Television And Radio)"
539,26544,Producer/Director Of Commercials
540,26545,"Editor (Radio, Television And Video)"
541,26549,"Other Film, Stage And Related Directors And Producers"
542,2655,Actors
543,26550,Actor
544,2656,Radio And Television Presenters And Related Professionals
545,26561,Radio Presenter
546,26562,Television Presenter
547,26563,Dubbing Artiste
548,26569,Other Radio And Television Presenters And Related Professionals
549,29,Other Professionals Not Elsewhere Classified
550,290,Other Professionals Not Elsewhere Classified
551,2901,Religious Professionals
552,29011,Minister Of Religion
553,29019,Other Religious Professionals
554,2909,Other Professionals Not Elsewhere Classified
555,29090,"Other Professionals N.E.C. (Eg Patent Agent, Trademark Agent, Intellectual Property Strategist)"
556,3,Associate Professionals And Technicians
557,31,Physical And Engineering Science Associate Professionals
558,310,Assistant Engineers
559,3100,Assistant Engineers
560,31001,Assistant Civil And Structural Engineer
561,31002,Assistant Electrical Engineer
562,31003,Assistant Electronics Engineer
563,31004,Assistant Mechanical Engineer
564,31005,Assistant Chemical Engineer
565,31006,Assistant Manufacturing Engineer
566,31009,Other Assistant Engineers
567,311,Physical And Engineering Science Technicians
568,3111,Chemical And Physical Science Technicians
569,31111,Chemistry Technician
570,31112,Physics Technician
571,31119,Other Chemical And Physical Science Technicians
572,3112,Civil Engineering Technicians
573,31121,Civil Engineering Technician
574,31122,Structural Engineering Technician
575,31123,Building Technician
576,31124,Land Surveying Technician
577,31125,Resident Technical Officer
578,31129,Other Civil Engineering And Related Technicians
579,3113,Electrical Engineering Technicians
580,31131,Electrical Engineering Technician (General)
581,31132,Electrical Engineering Technician (High Voltage)
582,31139,Other Electrical Engineering Technicians
583,3114,Electronics Engineering Technicians
584,31141,Electronics Engineering Technician (General)
585,31142,Semi-Conductor Technician
586,31143,Audio And Video Equipment Technician
587,31144,Instrumentation Technician
588,31149,Other Electronics Engineering Technicians
589,3115,Mechanical Engineering Technicians
